locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDDCBLLE_00073	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
IDDCBLLE_00074	CDS	1398	ycjX		COG3106	putative protein YcjX
IDDCBLLE_00075	CDS	1062				hypothetical protein
IDDCBLLE_00076	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
IDDCBLLE_00077	CDS	507	tpx_1	1.11.1.15	COG2077	Thiol peroxidase
IDDCBLLE_00078	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
IDDCBLLE_00079	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
IDDCBLLE_00080	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
IDDCBLLE_00081	CDS	930				hypothetical protein
IDDCBLLE_00082	CDS	906	pgrR_1			HTH-type transcriptional regulator PgrR
IDDCBLLE_00083	CDS	837	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
IDDCBLLE_00084	CDS	714	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
IDDCBLLE_00085	CDS	591	bdcR			HTH-type transcriptional repressor BdcR
IDDCBLLE_00086	CDS	237	ygdR_1			putative lipoprotein YgdR
IDDCBLLE_00087	CDS	1056				hypothetical protein
IDDCBLLE_00088	CDS	852	rob_1		COG2207	Right origin-binding protein
IDDCBLLE_00089	CDS	759				hypothetical protein
IDDCBLLE_00090	CDS	1983				hypothetical protein
IDDCBLLE_00091	CDS	825				hypothetical protein
IDDCBLLE_00092	CDS	519	tpx_2	1.11.1.15	COG2077	Thiol peroxidase
IDDCBLLE_00093	CDS	339				hypothetical protein
IDDCBLLE_00094	CDS	687				hypothetical protein
IDDCBLLE_00095	CDS	603	puuR			HTH-type transcriptional regulator PuuR
IDDCBLLE_00096	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
IDDCBLLE_00097	CDS	255				hypothetical protein
IDDCBLLE_00098	CDS	948	uspE		COG0589	Universal stress protein E
IDDCBLLE_00099	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
IDDCBLLE_00100	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
IDDCBLLE_00101	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
IDDCBLLE_00102	CDS	1155	tap		COG0840	Methyl-accepting chemotaxis protein IV
IDDCBLLE_00103	CDS	984	zntB		COG0598	Zinc transport protein ZntB
IDDCBLLE_00104	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
IDDCBLLE_00105	CDS	936	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
IDDCBLLE_00106	CDS	339	emrE		COG2076	Multidrug transporter EmrE
IDDCBLLE_00107	CDS	435	uspF		COG0589	Universal stress protein F
IDDCBLLE_00108	CDS	3525	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
IDDCBLLE_00109	CDS	267				hypothetical protein
IDDCBLLE_00110	CDS	411	hslJ		COG3187	Heat shock protein HslJ
IDDCBLLE_00111	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
IDDCBLLE_00112	CDS	2637				hypothetical protein
IDDCBLLE_00113	CDS	192				hypothetical protein
IDDCBLLE_00114	CDS	324				hypothetical protein
IDDCBLLE_00115	CDS	450				hypothetical protein
IDDCBLLE_00116	CDS	606	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
IDDCBLLE_00117	CDS	3921				hypothetical protein
IDDCBLLE_00118	CDS	801	ydcF		COG1434	Protein YdcF
IDDCBLLE_00119	CDS	531	cybB		COG3038	Cytochrome b561
IDDCBLLE_00120	CDS	663				hypothetical protein
IDDCBLLE_00121	CDS	96				hypothetical protein
IDDCBLLE_00122	CDS	1551				hypothetical protein
IDDCBLLE_00123	CDS	681	yecS_1		COG0765	L-cystine transport system permease protein YecS
IDDCBLLE_00124	CDS	732	glnQ_1			Glutamine transport ATP-binding protein GlnQ
IDDCBLLE_00125	CDS	633	yecS_2		COG0765	L-cystine transport system permease protein YecS
IDDCBLLE_00126	CDS	525				hypothetical protein
IDDCBLLE_00127	CDS	231				hypothetical protein
IDDCBLLE_00128	CDS	345				hypothetical protein
IDDCBLLE_00129	CDS	1227	sseJ	3.-.-.-	COG3240	Secreted effector protein SseJ
IDDCBLLE_00130	CDS	417				hypothetical protein
IDDCBLLE_00131	CDS	126				hypothetical protein
IDDCBLLE_00132	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
IDDCBLLE_00133	CDS	1119	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
IDDCBLLE_00134	CDS	1626	trg_1		COG0840	Methyl-accepting chemotaxis protein III
IDDCBLLE_00135	CDS	924	gbpR_1			HTH-type transcriptional regulator GbpR
IDDCBLLE_00136	CDS	1344			COG5383	putative protein
IDDCBLLE_00137	CDS	1509	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
IDDCBLLE_00138	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
IDDCBLLE_00139	CDS	567	yceI_1		COG2353	Protein YceI
IDDCBLLE_00140	CDS	1140		1.13.12.4	COG1304	Lactate 2-monooxygenase
IDDCBLLE_00141	CDS	438		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
IDDCBLLE_00142	CDS	792	srlR_2		COG1349	Glucitol operon repressor
IDDCBLLE_00143	CDS	633	rpe_1	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
IDDCBLLE_00144	CDS	438	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
IDDCBLLE_00145	CDS	807				hypothetical protein
IDDCBLLE_00146	CDS	1314	gatC_1		COG3775	PTS system galactitol-specific EIIC component
IDDCBLLE_00147	CDS	282	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
IDDCBLLE_00148	CDS	1119	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
IDDCBLLE_00149	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
IDDCBLLE_00150	CDS	981				hypothetical protein
IDDCBLLE_00151	CDS	1014	tehA		COG1275	Tellurite resistance protein TehA
IDDCBLLE_00152	CDS	597	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
IDDCBLLE_00153	CDS	669				hypothetical protein
IDDCBLLE_00154	CDS	1020	ydcO		COG3135	Inner membrane protein YdcO
IDDCBLLE_00155	CDS	537	sutR_1		COG1396	HTH-type transcriptional regulator SutR
IDDCBLLE_00156	CDS	1965	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
IDDCBLLE_00157	CDS	231				hypothetical protein
IDDCBLLE_00158	CDS	621				hypothetical protein
IDDCBLLE_00159	CDS	174				hypothetical protein
IDDCBLLE_00160	CDS	399				hypothetical protein
IDDCBLLE_00161	CDS	771	vanX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
IDDCBLLE_00162	CDS	1425	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
IDDCBLLE_00163	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
IDDCBLLE_00164	CDS	174	ortT			Orphan toxin OrtT
IDDCBLLE_00165	CDS	2145				hypothetical protein
IDDCBLLE_00166	CDS	2982				hypothetical protein
IDDCBLLE_00167	CDS	1329				hypothetical protein
IDDCBLLE_00168	CDS	234	ydcY			putative protein YdcY
IDDCBLLE_00169	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
IDDCBLLE_00170	CDS	516	yncA	2.3.1.-	COG1247	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
IDDCBLLE_00171	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
IDDCBLLE_00172	CDS	666	mcbR		COG1802	HTH-type transcriptional regulator McbR
IDDCBLLE_00173	CDS	2166	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
IDDCBLLE_00174	CDS	1062	yncE		COG3391	putative protein YncE
IDDCBLLE_00175	CDS	222	ygdR_2			putative lipoprotein YgdR
IDDCBLLE_00176	CDS	1494	ansP2		COG1113	L-asparagine permease 2
IDDCBLLE_00177	CDS	633				hypothetical protein
IDDCBLLE_00178	CDS	846	nhoA	2.3.1.118	COG2162	Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase
IDDCBLLE_00179	CDS	894	yddE	5.1.-.-	COG0384	putative isomerase YddE
IDDCBLLE_00180	CDS	681	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
IDDCBLLE_00181	CDS	696	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
IDDCBLLE_00182	CDS	1545	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
IDDCBLLE_00183	CDS	3741	narZ	1.7.5.1	COG5013	Respiratory nitrate reductase 2 alpha chain
IDDCBLLE_00184	CDS	1389	narU		COG2223	Nitrate/nitrite transporter NarU
IDDCBLLE_00185	CDS	579				hypothetical protein
IDDCBLLE_00186	CDS	1488	smvA			Methyl viologen resistance protein SmvA
IDDCBLLE_00187	CDS	441				hypothetical protein
IDDCBLLE_00188	CDS	1089	ompD		COG3203	Outer membrane porin protein OmpD
IDDCBLLE_00189	CDS	882	yddG			Methyl viologen resistance protein YddG
IDDCBLLE_00190	CDS	588	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
IDDCBLLE_00191	CDS	2412	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
IDDCBLLE_00192	CDS	885	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
IDDCBLLE_00193	CDS	657	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
IDDCBLLE_00194	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
IDDCBLLE_00195	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
IDDCBLLE_00196	CDS	144	sra			Stationary-phase-induced ribosome-associated protein
IDDCBLLE_00197	CDS	216	bdm			Protein bdm
IDDCBLLE_00198	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
IDDCBLLE_00199	CDS	330	hdeB			Acid stress chaperone HdeB
IDDCBLLE_00200	CDS	786				hypothetical protein
IDDCBLLE_00201	CDS	1785	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
IDDCBLLE_00202	CDS	2529	treY	5.4.99.15		Maltooligosyl trehalose synthase
IDDCBLLE_00203	CDS	2076	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
IDDCBLLE_00204	CDS	1104	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
IDDCBLLE_00205	CDS	165	purR_1			HTH-type transcriptional repressor PurR
IDDCBLLE_00206	CDS	282				hypothetical protein
IDDCBLLE_00207	CDS	1491				hypothetical protein
IDDCBLLE_00208	CDS	1287	exuT_1			Hexuronate transporter
IDDCBLLE_00209	CDS	1026	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
IDDCBLLE_00210	CDS	672	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
IDDCBLLE_00211	CDS	1089				hypothetical protein
IDDCBLLE_00212	CDS	1104	hoxK	1.12.99.6		Uptake hydrogenase small subunit
IDDCBLLE_00213	CDS	1803	hyaB_1	1.12.99.6	COG0374	Hydrogenase-1 large chain
IDDCBLLE_00214	CDS	675	hyaC_1		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
IDDCBLLE_00215	CDS	609	hyaD_1	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
IDDCBLLE_00216	CDS	300				hypothetical protein
IDDCBLLE_00217	CDS	411				hypothetical protein
IDDCBLLE_00218	CDS	1062	norV_1			Anaerobic nitric oxide reductase flavorubredoxin
IDDCBLLE_00219	CDS	888				hypothetical protein
IDDCBLLE_00220	CDS	342	hybF_1		COG0375	Hydrogenase maturation factor HybF
IDDCBLLE_00221	CDS	1119	ompC_1			Outer membrane porin C
IDDCBLLE_00222	CDS	528				hypothetical protein
IDDCBLLE_00223	CDS	948				hypothetical protein
IDDCBLLE_00224	CDS	360				hypothetical protein
IDDCBLLE_00225	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
IDDCBLLE_00226	CDS	1389	sad_1	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
IDDCBLLE_00227	CDS	873	gltR_1		COG0583	HTH-type transcriptional regulator GltR
IDDCBLLE_00228	CDS	1191	sotB		COG2814	Sugar efflux transporter
IDDCBLLE_00229	CDS	666				hypothetical protein
IDDCBLLE_00230	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
IDDCBLLE_00231	CDS	384	marA_1			Multiple antibiotic resistance protein MarA
IDDCBLLE_00232	CDS	210				hypothetical protein
IDDCBLLE_00233	CDS	903	eamA		COG0697	putative amino-acid metabolite efflux pump
IDDCBLLE_00234	CDS	738				hypothetical protein
IDDCBLLE_00235	CDS	489				hypothetical protein
IDDCBLLE_00236	CDS	96	mgtS			Small protein MgtS
IDDCBLLE_00237	CDS	393	ygiW_1		COG3111	Protein YgiW
IDDCBLLE_00238	CDS	528	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
IDDCBLLE_00239	CDS	183				hypothetical protein
IDDCBLLE_00240	CDS	1083	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
IDDCBLLE_00241	CDS	747	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
IDDCBLLE_00242	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
IDDCBLLE_00243	CDS	204	ydfZ			Putative selenoprotein YdfZ
IDDCBLLE_00244	CDS	1467	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
IDDCBLLE_00245	CDS	1380	ydfJ			Putative transporter YdfJ
IDDCBLLE_00246	CDS	555	rspB_1	1.1.1.-	COG1063	Starvation-sensing protein RspB
IDDCBLLE_00247	CDS	465	rspB_2	1.1.1.-	COG1063	Starvation-sensing protein RspB
IDDCBLLE_00248	CDS	1215	rspA_1	4.2.1.-		D-galactonate dehydratase family member RspA
IDDCBLLE_00249	CDS	336				hypothetical protein
IDDCBLLE_00250	CDS	342				hypothetical protein
IDDCBLLE_00251	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
IDDCBLLE_00252	CDS	720				hypothetical protein
IDDCBLLE_00253	CDS	306	ynfD			putative protein YnfD
IDDCBLLE_00254	CDS	2439	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
IDDCBLLE_00255	CDS	2436	ynfF_1	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
IDDCBLLE_00256	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
IDDCBLLE_00257	CDS	858	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
IDDCBLLE_00258	CDS	615	dmsD_1		COG3381	Tat proofreading chaperone DmsD
IDDCBLLE_00259	CDS	711	osmY_1		COG1174	Osmoprotectant import permease protein OsmY
IDDCBLLE_00260	CDS	903	osmX		COG1732	Osmoprotectant-binding protein OsmX
IDDCBLLE_00261	CDS	648	osmW		COG1174	Osmoprotectant import permease protein OsmW
IDDCBLLE_00262	CDS	1149	osmV	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
IDDCBLLE_00263	CDS	1254	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
IDDCBLLE_00264	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
IDDCBLLE_00265	CDS	1221	mlc		COG1940	Protein mlc
IDDCBLLE_00266	CDS	900	benM_1			HTH-type transcriptional regulator BenM
IDDCBLLE_00267	CDS	1254	ynfM_1			Inner membrane transport protein YnfM
IDDCBLLE_00268	CDS	249	asr			Acid shock protein
IDDCBLLE_00269	CDS	822				hypothetical protein
IDDCBLLE_00270	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
IDDCBLLE_00271	CDS	363	mdtJ		COG2076	Spermidine export protein MdtJ
IDDCBLLE_00272	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
IDDCBLLE_00273	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
IDDCBLLE_00274	CDS	1530	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
IDDCBLLE_00275	CDS	945	ydgH			Protein YdgH
IDDCBLLE_00276	CDS	204				hypothetical protein
IDDCBLLE_00277	CDS	1215	ydgI		COG0531	Putative arginine/ornithine antiporter
IDDCBLLE_00278	CDS	327	ydgC		COG3136	Inner membrane protein YdgC
IDDCBLLE_00279	CDS	732	rstA		COG0745	Transcriptional regulatory protein RstA
IDDCBLLE_00280	CDS	1152	ompN_1		COG3203	Outer membrane porin N
IDDCBLLE_00281	CDS	1701	nfdA	3.5.1.91		N-substituted formamide deformylase
IDDCBLLE_00282	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
IDDCBLLE_00283	CDS	930	tus			DNA replication terminus site-binding protein
IDDCBLLE_00284	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
IDDCBLLE_00285	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
IDDCBLLE_00286	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
IDDCBLLE_00287	CDS	1509	ydgA		COG5339	Protein YdgA
IDDCBLLE_00288	CDS	237				hypothetical protein
IDDCBLLE_00289	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
IDDCBLLE_00290	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
IDDCBLLE_00291	CDS	216	ydgT			Transcription modulator YdgT
IDDCBLLE_00292	CDS	441	ydgK			Inner membrane protein YdgK
IDDCBLLE_00293	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
IDDCBLLE_00294	CDS	579	rsxB_1	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
IDDCBLLE_00295	CDS	2115	rsxC_1	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
IDDCBLLE_00296	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
IDDCBLLE_00297	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
IDDCBLLE_00298	CDS	693	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
IDDCBLLE_00299	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
IDDCBLLE_00300	CDS	1506	dtpA		COG3104	Dipeptide and tripeptide permease A
IDDCBLLE_00301	CDS	606	gstA	2.5.1.18	COG0625	Glutathione S-transferase GstA
IDDCBLLE_00302	CDS	522	pdxY_1	2.7.1.35	COG2240	Pyridoxal kinase PdxY
IDDCBLLE_00303	CDS	294	pdxY_2	2.7.1.35	COG2240	Pyridoxal kinase PdxY
IDDCBLLE_00304	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
IDDCBLLE_00305	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
IDDCBLLE_00306	CDS	330	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
IDDCBLLE_00307	CDS	1122	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
IDDCBLLE_00308	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
IDDCBLLE_00309	CDS	435	slyA		COG1846	Transcriptional regulator SlyA
IDDCBLLE_00310	CDS	237				hypothetical protein
IDDCBLLE_00311	CDS	861	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
IDDCBLLE_00312	CDS	2040	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
IDDCBLLE_00313	CDS	522	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
IDDCBLLE_00314	CDS	897	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
IDDCBLLE_00315	CDS	240				hypothetical protein
IDDCBLLE_00316	CDS	600	nemR			HTH-type transcriptional repressor NemR
IDDCBLLE_00317	CDS	1098	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
IDDCBLLE_00318	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
IDDCBLLE_00319	CDS	648	rnt	3.1.13.-	COG0847	Ribonuclease T
IDDCBLLE_00320	CDS	348	grxD		COG0278	Glutaredoxin 4
IDDCBLLE_00321	CDS	822	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
IDDCBLLE_00322	CDS	582	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
IDDCBLLE_00323	CDS	90	ynhF			putative protein YnhF
IDDCBLLE_00324	CDS	1026	purR_2		COG1609	HTH-type transcriptional repressor PurR
IDDCBLLE_00325	CDS	933	yahB			putative HTH-type transcriptional regulator YahB
IDDCBLLE_00326	CDS	1206	ydhC			Inner membrane transport protein YdhC
IDDCBLLE_00327	CDS	1149	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
IDDCBLLE_00328	CDS	642	ribC	2.5.1.9	COG0307	Riboflavin synthase
IDDCBLLE_00329	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
IDDCBLLE_00330	tRNA	77				tRNA-Val(gac)
